id,nome,codigo
0Bs6IzaHiR,DIRETORIA DE ARTICULAÇÃO E RELAÇÕES INSTITUCIONAIS,1120
0SSv6LGOJZ,NÚCLEO DE PERÍCIAS E SEGURANÇA DO TRABALHO,110105
10StKVSmWh,SECRETARIA DE DOCUMENTAÇÃO E PROTOCOLO,116346
1E7AcJlOEH,DIRETORIA DE TECNOLOGIA DA INFORMAÇÃO,1103
1oAIGj0KPl,COORDENADORIA PARA FORTALECIMENTO DA QUALIDADE DO ENSINO,110713
2xSbHY8naJ,COORDENAÇÃO DO CURSO DE MEDICINA VETERINÁRIA,111502
4jgnvYfVCN,OUVIDORIA,116317
4kdCEnOrgD,COORDENADORIA DE LICITAÇÕES,110402
6K9EbNyAos,DIVISÃO DE SERVIÇOS ACESSÍVEIS,116330
6SxaORAzPL,COORDENADORIA DE PLANEJAMENTO ORÇAMENTÁRIO,110203
6Vuw1mRzcw,DIVISÃO DE ATENÇÃO E QUALIDADE DE VIDA DO ESTUDANTE,112311
6cgipbHXbP,COORDENAÇÃO DO CURSO DE ENGENHARIA DE MATERIAIS,111602
7Eu9u0MOn8,NÚCLEO DE DIPLOMAS,110704
8AXY5pMSSB,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS,1123
8gsVvpbGGw,DIVISÃO DE SERVIÇO SOCIAL E ARTICULAÇÃO ESTUDANTIL,112308
8qbXNahtRM,PROCURADORIA GERAL,116319
9HBh1mggKM,COORDENADORIA DE ESTÁGIOS E DESENVOLVIMENTO PROFISSIONAL,112003
9hOCuexLXh,NÚCLEO DE APOIO PEDAGÓGICO,110718
9sVfwHjzLp,COORDENAÇÃO DO CURSO DE LICENCIATURA EM FILOSOFIA,111105
AVd6D3WneZ,DIVISÃO DE ACOMPANHAMENTO PSICOPEDAGÓGICO,112306
B4Uwc7FHlh,DIVISÃO DE REDES E TELEFONIA,110309
BGDE9zkhq2,DIVISÃO DE OBRAS CIVIS,111910
BYWG3ITlz3,COORDENAÇÃO DO CURSO DE CIÊNCIAS DA COMPUTAÇÃO,111604
BtL0wGNWyQ,INSTITUTO DE FORMAÇÃO DE EDUCADORES,1117
C1HXCOheQQ,LABORATÓRIO DE CERÂMICA,111608
CFEL01AlUh,COORDENAÇÃO DO CURSO DE MEDICINA,111401
CaFmwGTOHE,NÚCLEO DE GESTÃO,111004
FL80eiRa6h,NÚCLEO DE APOIO A ESTÁGIOS,111402
GO67VbcVuB,DIVISÃO DE ATENDIMENTO À PESSOA COM DEFICIÊNCIA,116337
GpDL0rw1ww,COORDENAÇÃO DO CURSO DE ADMINISTRAÇÃO,111301
GtON4TUkTc,COORDENADORIA DE CONTABILIDADE E FINANÇAS,110406
HCmfeOItA8,PROCURADORIA EDUCACIONAL INSTITUCIONAL,110720
HJFD9yPrug,NÚCLEO DE GESTÃO,110106
HhYT95NxMz,COORDENAÇÃO DO CURSO DE MATEMÁTICA,111704
Hi4yA5bHqX,COORDENAÇÃO DO CURSO DE JORNALISMO,111104
I9sFvuVKDJ,COORDENADORIA DE GESTÃO E SEGURANÇA DA INFORMAÇÃO,110303
IB5NDBj3V3,COORDENAÇÃO DO CURSO DE LICENCIATURA INTERDISCIPLINAR EM CIÊNCIAS NATURAIS E MATEMÁTICA,111701
JDLPK9LWtT,COORDENADORIA DE OBRAS E SERVIÇOS DE ENGENHARIA,111904
Jv7vvMBiqT,DIRETORIA DE LOGÍSTICA E APOIO OPERACIONAL,1164
JyF1JGvu9l,LABORATÓRIO DE MECÂNICA DOS SOLOS,111612
Ku73Q9evej,LABORATÓRIO DE METAIS,111613
Kx5OEojArw,LABORATÓRIO DE QUÍMICA,111616
L13DPTuxZ6,LABORATÓRIO DE REDES E COMUNICAÇÃO,111629
LHHUWw2ePP,LABORATÓRIO DE FÍSICA,111610
LbyDFDL71o,COORDENADORIA DE ADMINISTRAÇÃO DE PESSOAL,110101
LgA1rGCxCV,COORDENAÇÃO DO CURSO DE DESIGN DE PRODUTO,111103
LkBTfLcx7I,LABORATÓRIO DE ESTRUTURAS,111609
MWM12CBxfO,COORDENAÇÃO DO CURSO DE HISTÓRIA,111201
MmXyXWX88l,COORDENAÇÃO DO CURSO DE BIBLIOTECONOMIA,111302
Myx9INaZYL,GABINETE DA REITORIA,116313
NKDzSLwTb2,COORDENADORIA DE APOIO AO DESENVOLVIMENTO DISCENTE,112301
O9BYf0dfNV,NÚCLEO DA BIBLIOTECA DO CAMPUS JUAZEIRO DO NORTE,112205
OJr8TuCyGJ,PRÓ-REITORIA DE EXTENSÃO,1109
P3M8vdTlwk,COORDENADORIA DO REFEITÓRIO UNIVERSITÁRIO,112303
PF9YjCx9qi,COORDENADORIA EXECUTIVA,110404
PK7epbpMFi,COORDENAÇÃO DO CURSO DE ADMINISTRAÇÃO PÚBLICA,111304
R0OKOrsh2L,CENTRO DE CIÊNCIAS AGRÁRIAS E DA BIODIVERSIDADE,1115
R8kEM4THL0,PRÓ-REITORIA DE GRADUAÇÃO,1107
RcHn8hBBRJ,CENTRAL ANALÍTICA,111603
Su001w8i5m,COORDENAÇÃO DO CURSO DE AGRONOMIA,111501
T7SYwkuAiu,PRÓ-REITORIA DE PLANEJAMENTO E ORÇAMENTO,1102
TV1QyfWyVu,COORDENAÇÃO DO CURSO DE QUÍMICA,111705
U54B5qfePw,DIRETORIA DE INFRAESTRUTURA,1119
UdkeNZ3Kby,DIVISÃO DE SERVIÇOS DE TI,110304
VWVAG29gtB,COORDENADORIA DE QUALIDADE DE VIDA NO TRABALHO,110136
Vk1Yg6Zz0S,LABORATÓRIO DE PAVIMENTAÇÃO,111614
Vr8Fei7wwX,CENTRO DE CIÊNCIAS SOCIAIS APLICADAS,1113
W9A7oX7x0X,NÚCLEO DE GESTÃO,111906
WEI5wwkwGN,NÚCLEO DA BIBLIOTECA DO CAMPUS CRATO,112203
XTGKzWxTVK,SECRETARIA DOS ÓRGÃOS DELIBERATIVOS SUPERIORES,116311
XgPvM6q0dw,COORDENADORIA DE ESPORTE E CULTURA DO MOVIMENTO,111002
ZTVrXFYbSv,COORDENADORIA DE CONTROLE ACADÊMICO,110702
ZqDZlrelP9,COORDENAÇÃO DO CURSO DE MÚSICA,111106
ZqbPE7o77Y,INSTITUTO DE ESTUDOS DO SEMIÁRIDO,1112
Zqd6Z3RpDH,COORDENADORIA DE CONTRATOS,110405
ZvT7kO1jyh,SEÇÃO DE PRODUÇÃO DE MATERIAL DIDÁTICO ACESSÍVEL,116365
aEIFjGDsHU,COORDENADORIA DE MANUTENÇÃO,111903
aystALGdwo,SECRETARIA DE PROCESSOS DISCIPLINARES E COMISSÕES PERMANENTES,116338
b6p8iYoAQU,NÚCLEO DA BIBLIOTECA DO CAMPUS BREJO SANTO,112202
bH1fNeakQf,CENTRO DE EDUCAÇÃO A DISTÂNCIA,1184
bTWmZadmzN,COORDENADORIA DE ADMISSÃO E DIMENSIONAMENTO,110102
bfP9WQBqaW,COORDENADORIA DE CONTEÚDO INSTITUCIONAL,112402
c2RIerbcG3,DIVISÃO DE CAPACITAÇÃO,110123
dIdS3ubtJ1,NÚCLEO DE GESTÃO,116329
dKtjCeQFz8,COORDENADORIA DE FISCALIZAÇÃO DE SERVIÇOS TERCEIRIZADOS,110427
e9SQ8cLWFv,COORDENADORIA DE DESENVOLVIMENTO DE PESSOAL,110103
eJw2OjBlVH,COORDENAÇÃO DO CURSO DE BIOLOGIA,111702
eSXogd4jRx,COORDENAÇÃO DO CURSO DE MATEMÁTICA COMPUTACIONAL,111606
f2IM4YR6Qv,LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO CIVIL,111611
f3w8oKwF3t,NÚCLEO DA BIBLIOTECA DO CAMPUS BARBALHA,112201
gVN1zySGJW,LABORATÓRIO DE SANEAMENTO,111618
gW5BUFluLo,COORDENADORIA DE SISTEMAS DE INFORMAÇÃO,110301
hj09C3a9sU,DIRETORIA DO SISTEMA DE BIBLIOTECAS,1122
jpYxNOd9Ak,NÚCLEO DE DIÁRIAS E PASSAGENS,116315
kKcSRzcUvA,PRÓ-REITORIA DE CULTURA,1110
ksXg16pP7G,AUDITORIA INTERNA,116301
moiHJefshY,COORDENADORIA DE APOIO ÀS COMPRAS,110413
nLO0qrpk8R,PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA,111620
nNmOVd3nDq,DEPARTAMENTO DE TRANSPORTES,116402
npTi1Fv5AJ,CERIMONIAL E APOIO A EVENTOS,116341
oBAkR4KswB,COORDENAÇÃO DO CURSO DE BACHARELADO EM FILOSOFIA,111102
oq9VJCGDAi,COORDENAÇÃO DO CURSO DE BACHARELADO EM DESIGN,111126
otgEDbnY2r,NÚCLEO DE ENGENHARIA,111923
pKvzUErTRz,CENTRO DE CIÊNCIAS E TECNOLOGIA,1116
q8GUaBIYux,DIRETORIA DE COMUNICAÇÃO,1124
qMR3WIENdw,LABORATÓRIO DE TOPOGRAFIA,111619
rHDryMvM2u,COORDENADORIA DE GESTÃO BIM,111901
rS9CUv4827,COORDENADORIA DE ENSINO DE GRADUAÇÃO,110707
rY5EhEVB3n,COORDENADORIA DE PROJETOS DE ARQUITETURA,111915
rZuF8MUXYY,LABORATÓRIO DE POLÍMEROS,111615
sEURAC9kSK,DIVISÃO DE GESTÃO DE DESEMPENHO,110119
sHcwQoYYPg,FACULDADE DE MEDICINA,1114
sVA7Z3LR7G,COMISSÃO PERMANENTE DE AVALIAÇÃO,116344
tFZutDlHjL,PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO REGIONAL SUSTENTÁVEL,111506
tOACwtOjIS,LABORATÓRIO DE CARACTERIZAÇÃO,111607
uxfZ3emibG,NÚCLEO DE IDIOMAS E CULTURAS ESTRANGEIRAS,111012
vQCpolKzy9,COORDENAÇÃO DO CURSO DE LETRAS/LIBRAS,111101
vSGxdAMm9j,COORDENADORIA DE INFRAESTRUTURA DE TI,110302
vfHs0Tyk4P,NÚCLEO DE COMUNICAÇÃO,111007
w5YOdBxdHz,SECRETARIA DE COOPERAÇÃO INTERNACIONAL,116339
wZkEdr2pXq,COORDENADORIA DE MATERIAIS E PATRIMÔNIO,110409
xG1w8CAewI,COORDENAÇÃO DO CURSO DE CIÊNCIAS CONTÁBEIS,111303
ycT3OgjEPX,DIVISÃO DE CONTRATAÇÕES E CONTRATOS,110315
ydtrjSGwC0,SECRETARIA DE ACESSIBILIDADE,116328
z8r63xU660,COORDENAÇÃO DO CURSO DE ENGENHARIA CIVIL,111601
zEJbyUD0fv,COORDENAÇÃO DO CURSO DE FÍSICA,111703
zJhrPDCZ0N,PRÓ-REITORIA DE GESTÃO DE PESSOAS,1101
zuuyJx9gU4,PRÓ-REITORIA DE ADMINISTRAÇÃO,1104
zz0PbCIpKB,REITORIA,1163
